"","vector_years","count_reversed"
"1","2019",3
"2","2018",63
"3","2017",100
"4","2016",114
"5","2015",127
"6","2014",135
"7","2013",138
"8","2012",142
"9","2011",138
"10","2010",154
"11","2009",144
"12","2008",181
"13","2007",200
"14","2006",190
"15","2005",175
"16","2004",191
"17","2003",154
"18","2002",163
"19","2001",170
"20","2000",187
"21","1999",161
"22","1998",154
"23","1997",149
"24","1996",130
"25","1995",123
"26","1994",122
"27","1993",101
"28","1992",91
"29","1991",88
"30","1990",89
"31","1989",84
"32","1988",74
"33","1987",65
"34","1986",61
"35","1985",63
"36","1984",52
"37","1983",46
"38","1982",37
"39","1981",34
"40","1980",31
"41","1979",30
"42","1978",31
"43","1977",24
"44","1976",19
"45","1975",17
"46","1974",13
"47","1973",17
"48","1972",14
"49","1971",12
"50","1970",8
"51","1969",9
"52","1968",7
"53","1967",9
"54","1966",6
"55","1965",4
"56","1964",5
"57","1963",2
"58","1962",3
"59","1961",1
"60","1960",3
"61","1959",1
"62","1958",1
"63","1957",1
"64","1955",3
"65","1949",1
