"","vector_years","count_reversed"
"1","2019",20
"2","2018",147
"3","2017",218
"4","2016",286
"5","2015",300
"6","2014",314
"7","2013",363
"8","2012",372
"9","2011",389
"10","2010",366
"11","2009",357
"12","2008",369
"13","2007",396
"14","2006",412
"15","2005",351
"16","2004",331
"17","2003",346
"18","2002",314
"19","2001",335
"20","2000",378
"21","1999",326
"22","1998",309
"23","1997",259
"24","1996",203
"25","1995",209
"26","1994",194
"27","1993",174
"28","1992",162
"29","1991",152
"30","1990",159
"31","1989",177
"32","1988",162
"33","1987",151
"34","1986",145
"35","1985",149
"36","1984",141
"37","1983",131
"38","1982",113
"39","1981",122
"40","1980",131
"41","1979",120
"42","1978",122
"43","1977",124
"44","1976",116
"45","1975",129
"46","1974",120
"47","1973",129
"48","1972",141
"49","1971",135
"50","1970",110
"51","1969",94
"52","1968",79
"53","1967",58
"54","1966",45
"55","1965",39
"56","1964",20
"57","1963",21
"58","1962",48
"59","1961",47
"60","1960",42
"61","1959",9
"62","1958",8
"63","1957",8
"64","1955",4
"65","1949",1
